Provider_ID,Name,total_quantity_donated
709,Barry Group,179
306,"Evans, Wright and Mitchell",158
655,Smith Group,150
315,Nelson LLC,142
678,Ruiz-Oneal,140
499,Blankenship-Lewis,124
41,Kelly-Ware,123
161,Campbell LLC,123
262,Bradford-Martinez,121
146,Hampton-Lee,116
717,Shepherd and Sons,116
498,"Jones, Ortega and Rubio",115
7,Ortiz-Lee,114
139,Johnson-Ray,113
846,Miller Inc,111
938,Barker LLC,110
518,"Hill, Davis and Stewart",106
995,Moore Group,106
393,Steele Ltd,104
752,Butler-Richardson,104
478,"Lopez, Roach and Roach",102
192,"Hunter, Ballard and Caldwell",101
251,Carter-Jones,101
98,Hogan-Johnston,99
332,Cox LLC,99
485,Baker-Mcdonald,99
47,Wong-Reese,98
242,Aguilar-Frederick,98
312,Garcia-Hunter,97
346,"Phillips, Wolfe and Martin",97
888,Schmidt-Alexander,97
4,"Clark, Prince and Williams",96
138,"Jones, Rojas and Brown",96
705,Brown-Stephens,96
826,"Rogers, Harmon and Gordon",96
892,Flores-Wade,96
357,Carey PLC,95
391,Lambert Ltd,94
898,Wilson Group,94
308,Doyle LLC,93
920,"Hudson, Spence and Perez",93
5,Coleman-Farley,92
208,"Miller, Johnson and Fernandez",92
770,Schneider-Suarez,92
237,"White, Crawford and Pearson",91
563,Daniels-Kim,90
610,"Kelly, Cummings and Ward",90
783,Cooper LLC,90
384,Rogers-Warren,89
176,Allen-Mccullough,88
210,Jones-Miller,88
501,Davis-Kennedy,88
993,Mckinney Ltd,88
87,"Young, Townsend and Mccarthy",87
609,Torres-Dunlap,87
768,"Davis, Hughes and Leblanc",87
861,"Rogers, Robbins and Cook",87
417,"Glover, Wilson and Hudson",86
850,"Cooper, Osborn and Clark",86
596,"Barnes, Castro and Curtis",84
455,Rios Group,82
825,"Smith, Lynch and Anderson",82
290,"Webb, Phillips and Garcia",81
847,"Pollard, Collins and Watson",81
205,Thompson Group,80
344,"Mcmillan, Gallegos and Perry",80
57,Cook Group,79
723,Butler-Phillips,79
758,Todd Group,79
779,Maynard LLC,79
910,Lee PLC,79
1,Gonzales-Cochran,78
584,Sanders-Hale,78
703,Pierce Group,78
858,"Petersen, Morrison and Woods",78
983,"Munoz, Stone and Wallace",78
986,"Wilson, Harris and Mayo",78
140,Zhang LLC,76
71,Jones-Edwards,75
484,Nelson-White,75
750,Barnes and Sons,75
354,Rowe-Arias,74
371,"Montgomery, Dominguez and Hopkins",74
407,Douglas and Sons,74
113,"Anderson, Nicholson and Bruce",73
253,Gonzales-Keith,73
528,Baird PLC,73
632,"Oliver, Ross and Johnson",73
643,Dixon LLC,73
31,Thompson-Kerr,72
363,Henry-Terry,72
785,Crane LLC,71
231,Jackson-Robinson,70
365,"Bray, Nguyen and Christensen",70
517,Porter Inc,69
835,Smith-Paul,69
232,"Snyder, Caldwell and Campbell",68
264,Holland and Sons,68
287,Carr-Wells,68
491,Wilkerson-Woods,68
685,Scott and Sons,68
196,Owens-Taylor,67
791,Aguilar Group,66
890,"Simpson, Mcguire and Brown",66
368,Smith-Villegas,65
523,"Roberts, Howard and Bender",65
554,Jackson Ltd,65
602,Cole LLC,65
970,"Lewis, Preston and Price",65
54,"Bennett, Phillips and Green",64
62,"Mitchell, Campbell and Jones",64
221,Richardson Group,64
319,"Davila, Green and Avila",64
347,"Hood, Hoffman and Wright",64
387,Barrera-Ward,64
863,Johnson-Mejia,64
912,Morrison LLC,64
961,"Davis, Sanchez and Mendez",64
34,"Cooper, Smith and King",63
162,"Moore, Perez and Young",63
697,"Rodriguez, Thomas and Foster",63
834,Bruce Inc,63
421,Glass Inc,62
459,Brown Ltd,62
874,Long-Alexander,62
897,Stephens-Braun,62
967,Miller Inc,62
980,Baker Group,62
550,"Phelps, Graham and Hayes",61
101,Chambers-Waters,60
631,"Mueller, Savage and Hudson",60
905,Ayers LLC,60
154,Smith-Turner,59
330,Holloway-Koch,59
664,Caldwell PLC,59
810,"Austin, Griffin and Ward",59
906,Wright LLC,59
276,Hodge-Leblanc,58
66,Lambert-Wilson,57
979,Gray PLC,57
